"event","quarter","time","resolution","realization","grpd_event_time_bin","dataSet","grpd_time_event","EV","VarPredictedAgg","sqDevFromRealizationAgg","errorAgg","perc_errorAgg","avg_disagreementEV"
2009,2,2009.375,1,9.28333333333333,1,"PRUNEMP",1,9.24714478723404,0.350468549887721,0.00130961086878014,-0.349158939018941,-0.996263257090544,0.105049162877614
2009,3,2009.625,1,9.28333333333333,11,"PRUNEMP",5,9.37685606060606,0.260373814748683,0.00874650051652963,-0.251627314232154,-0.966407910392326,0.0776482122359961
2009,4,2009.875,1,9.28333333333333,21,"PRUNEMP",9,9.29542763157895,0.166464290815443,0.000146272050053954,-0.166318018765389,-0.999121300734605,0.0258325885128117
2010,2,2009.375,1,9.60833333333333,31,"PRUNEMP",2,9.53616489361702,0.94344874940584,0.00520828369108655,-0.938240465714753,-0.994479526636326,0.495389527331372
2010,3,2009.625,1,9.60833333333333,41,"PRUNEMP",6,9.55691666666667,0.852019962752525,0.00264367361111091,-0.849376289141414,-0.996897169401324,0.40919291540404
2010,4,2009.875,1,9.60833333333333,51,"PRUNEMP",10,9.95907894736842,0.821368230609418,0.123022485764852,-0.698345744844566,-0.850222493176325,0.315378099030471
2010,1,2010.125,1,9.60833333333333,61,"PRUNEMP",13,9.88427631578947,0.656476449965374,0.0761445295667916,-0.580331920398582,-0.884010264845284,0.299741746018006
2010,2,2010.375,1,9.60833333333333,71,"PRUNEMP",17,9.57393157894737,0.424139384792244,0.00118348070483197,-0.422955904087412,-0.997209689202969,0.173150183739612
2010,3,2010.625,1,9.60833333333333,81,"PRUNEMP",21,9.73725806451613,0.220248933402706,0.016621586310557,-0.203627347092148,-0.924532727338271,0.0331404656607699
2010,4,2010.875,1,9.60833333333333,91,"PRUNEMP",25,9.70621524390244,0.120174510987136,0.00958086841665873,-0.110593642570477,-0.920275370060093,0.0250862205755502
2011,2,2009.375,1,8.93333333333333,101,"PRUNEMP",3,8.71025694444444,1.31001597564622,0.0497630752797056,-1.26025290036651,-0.962013382886298,0.839824637104552
2011,3,2009.625,1,8.93333333333333,111,"PRUNEMP",7,8.64304,1.32213264401766,0.0842702193777753,-1.23786242463989,-0.936261902495882,0.8320411734
2011,4,2009.875,1,8.93333333333333,121,"PRUNEMP",11,9.132421875,0.992562103271484,0.0396362474229615,-0.952925855848523,-0.960066733061518,0.535449017333985
2011,1,2010.125,1,8.93333333333333,131,"PRUNEMP",14,9.1599358974359,0.83307435486522,0.0513487220578572,-0.781725632807363,-0.93836237815031,0.445051758711374
2011,2,2010.375,1,8.93333333333333,141,"PRUNEMP",18,8.87687567567568,0.815624860219138,0.00318746710818892,-0.812437393110949,-0.996091993680364,0.431082505084003
2011,3,2010.625,1,8.93333333333333,151,"PRUNEMP",22,9.1198078046875,0.423804610115515,0.0347727284668167,-0.389031881648698,-0.917951037726232,0.11169571750237
2011,4,2010.875,1,8.93333333333333,161,"PRUNEMP",26,9.26601875,0.453204922407126,0.110679586462675,-0.342525335944451,-0.75578467710629,0.178127132460937
2011,1,2011.125,1,8.93333333333333,171,"PRUNEMP",29,9.10318167307693,0.327614444584637,0.0288484585136557,-0.298765986070981,-0.911943874909939,0.094099343558164
2011,2,2011.375,1,8.93333333333333,181,"PRUNEMP",32,8.71739756097561,0.281220007798929,0.0466282577837247,-0.234591750015204,-0.834192957504419,0.0467541558477096
2011,3,2011.625,1,8.93333333333333,191,"PRUNEMP",35,9.11509242424242,0.220380928121471,0.0330363671281,-0.187344560993371,-0.850094255389056,0.0370269339577594
2011,4,2011.875,1,8.93333333333333,201,"PRUNEMP",38,9.17222619047619,0.083854508361678,0.0570697971938788,-0.0267847111677992,-0.319418856434915,0.0180845351473922
2012,2,2009.375,1,8.075,211,"PRUNEMP",4,7.84719139705882,1.55866885072011,0.0518967595740106,-1.5067720911461,-0.966704435294236,0.932018420721761
2012,3,2009.625,1,8.075,221,"PRUNEMP",8,7.75805681818182,1.79734985793506,0.100452980501032,-1.69689687743403,-0.944110502439163,1.00673582915806
2012,4,2009.875,1,8.075,231,"PRUNEMP",12,8.2424,1.41151724,0.0280227600000008,-1.38349448,-0.980147065012114,0.83501124
2012,1,2010.125,1,8.075,241,"PRUNEMP",15,8.28180555555556,1.2262684992284,0.042768537808643,-1.18349996141975,-0.965123023354547,0.741780825617284
2012,2,2010.375,1,8.075,251,"PRUNEMP",19,8.00557142857143,1.20776895918367,0.00482032653061212,-1.20294863265306,-0.996008900134451,0.669486673469388
2012,3,2010.625,1,8.075,261,"PRUNEMP",23,8.38112582954546,0.769882895795681,0.0937130235148936,-0.676169872280787,-0.878276262498285,0.285732421017292
2012,4,2010.875,1,8.075,271,"PRUNEMP",27,8.69039838709678,0.817054980075226,0.378715174841314,-0.438339805233912,-0.536487526449632,0.327298830723205
2012,1,2011.125,1,8.075,281,"PRUNEMP",30,8.4542480125,0.589308361247536,0.143829054985203,-0.445479306262334,-0.755935831827121,0.213268324142806
2012,2,2011.375,1,8.075,291,"PRUNEMP",33,8.19787,0.4878709006,0.0150970369000002,-0.4727738637,-0.969055262608544,0.1162240291
2012,3,2011.625,1,8.075,301,"PRUNEMP",36,8.74908088235294,0.424563493458045,0.454385035953719,0.0298215424956745,0.0702404774672918,0.140146627649221
2012,4,2011.875,1,8.075,311,"PRUNEMP",39,8.85593095238095,0.366748871422903,0.609853152386621,0.243104280963719,0.662863064910137,0.111070812137188
2012,1,2012.125,1,8.075,321,"PRUNEMP",41,8.35644605263158,0.341589961563366,0.079211880541899,-0.262378081021467,-0.768108289308715,0.0931001142607341
