"event","quarter","bin","time","resolution","realization","binL","binH","binValue","grpd_event_time_bin","pAgg","dataSet"
1968,4,1,1968.875,1,9.4,10,1000,11,1,0.0125882352941176,"PRGDP"
1968,4,2,1968.875,1,9.4,9,10,9.5,2,0.0176470588235294,"PRGDP"
1968,4,3,1968.875,1,9.4,8,9,8.5,3,0.078,"PRGDP"
1968,4,4,1968.875,1,9.4,7,8,7.5,4,0.251294117647059,"PRGDP"
1968,4,5,1968.875,1,9.4,6,7,6.5,5,0.296470588235294,"PRGDP"
1968,4,6,1968.875,1,9.4,5,6,5.5,6,0.173882352941176,"PRGDP"
1968,4,7,1968.875,1,9.4,4,5,4.5,7,0.0734117647058824,"PRGDP"
1968,4,8,1968.875,1,9.4,3,4,3.5,8,0.0405882352941176,"PRGDP"
1968,4,9,1968.875,1,9.4,2,3,2.5,9,0.0242352941176471,"PRGDP"
1968,4,10,1968.875,1,9.4,1,2,1.5,10,0.0108235294117647,"PRGDP"
1968,4,11,1968.875,1,9.4,0,1,0.5,11,0.0149411764705882,"PRGDP"
1968,4,12,1968.875,1,9.4,-1,0,-0.5,12,0.00294117647058823,"PRGDP"
1968,4,13,1968.875,1,9.4,-2,-1,-1.5,13,0.00141176470588235,"PRGDP"
1968,4,14,1968.875,1,9.4,-3,-2,-2.5,14,0.00105882352941176,"PRGDP"
1968,4,15,1968.875,1,9.4,-1000,-3,-4,15,0.000823529411764706,"PRGDP"
1969,1,1,1969.125,1,8.1,10,1000,11,16,0.00525423728813559,"PRGDP"
1969,1,2,1969.125,1,8.1,9,10,9.5,17,0.0369491525423729,"PRGDP"
1969,1,3,1969.125,1,8.1,8,9,8.5,18,0.083728813559322,"PRGDP"
1969,1,4,1969.125,1,8.1,7,8,7.5,19,0.281016949152542,"PRGDP"
1969,1,5,1969.125,1,8.1,6,7,6.5,20,0.311525423728814,"PRGDP"
1969,1,6,1969.125,1,8.1,5,6,5.5,21,0.147627118644068,"PRGDP"
1969,1,7,1969.125,1,8.1,4,5,4.5,22,0.0593220338983051,"PRGDP"
1969,1,8,1969.125,1,8.1,3,4,3.5,23,0.0332203389830508,"PRGDP"
1969,1,9,1969.125,1,8.1,2,3,2.5,24,0.0194915254237288,"PRGDP"
1969,1,10,1969.125,1,8.1,1,2,1.5,25,0.0108474576271186,"PRGDP"
1969,1,11,1969.125,1,8.1,0,1,0.5,26,0.00610169491525424,"PRGDP"
1969,1,12,1969.125,1,8.1,-1,0,-0.5,27,0.00220338983050847,"PRGDP"
1969,1,13,1969.125,1,8.1,-2,-1,-1.5,28,0.00101694915254237,"PRGDP"
1969,1,14,1969.125,1,8.1,-3,-2,-2.5,29,0.00101694915254237,"PRGDP"
1969,1,15,1969.125,1,8.1,-1000,-3,-4,30,0.000677966101694915,"PRGDP"
1969,2,1,1969.375,1,8.1,10,1000,11,31,0.00559322033898305,"PRGDP"
1969,2,2,1969.375,1,8.1,9,10,9.5,32,0.025593220338983,"PRGDP"
1969,2,3,1969.375,1,8.1,8,9,8.5,33,0.142542372881356,"PRGDP"
1969,2,4,1969.375,1,8.1,7,8,7.5,34,0.452881355932203,"PRGDP"
1969,2,5,1969.375,1,8.1,6,7,6.5,35,0.203220338983051,"PRGDP"
1969,2,6,1969.375,1,8.1,5,6,5.5,36,0.0874576271186441,"PRGDP"
1969,2,7,1969.375,1,8.1,4,5,4.5,37,0.0440677966101695,"PRGDP"
1969,2,8,1969.375,1,8.1,3,4,3.5,38,0.0250847457627119,"PRGDP"
1969,2,9,1969.375,1,8.1,2,3,2.5,39,0.0076271186440678,"PRGDP"
1969,2,10,1969.375,1,8.1,1,2,1.5,40,0.00220338983050847,"PRGDP"
1969,2,11,1969.375,1,8.1,0,1,0.5,41,0.0011864406779661,"PRGDP"
1969,2,12,1969.375,1,8.1,-1,0,-0.5,42,0.000847457627118644,"PRGDP"
1969,2,13,1969.375,1,8.1,-2,-1,-1.5,43,0.000847457627118644,"PRGDP"
1969,2,14,1969.375,1,8.1,-3,-2,-2.5,44,0.000508474576271186,"PRGDP"
1969,2,15,1969.375,1,8.1,-1000,-3,-4,45,0.000508474576271186,"PRGDP"
1969,3,1,1969.625,1,8.1,10,1000,11,46,0.019811320754717,"PRGDP"
1969,3,2,1969.625,1,8.1,9,10,9.5,47,0.0249056603773585,"PRGDP"
1969,3,3,1969.625,1,8.1,8,9,8.5,48,0.0685849056603774,"PRGDP"
1969,3,4,1969.625,1,8.1,7,8,7.5,49,0.205,"PRGDP"
1969,3,5,1969.625,1,8.1,6,7,6.5,50,0.178301886792453,"PRGDP"
1969,3,6,1969.625,1,8.1,5,6,5.5,51,0.152735849056604,"PRGDP"
1969,3,7,1969.625,1,8.1,4,5,4.5,52,0.124528301886792,"PRGDP"
1969,3,8,1969.625,1,8.1,3,4,3.5,53,0.0740566037735849,"PRGDP"
1969,3,9,1969.625,1,8.1,2,3,2.5,54,0.0652830188679245,"PRGDP"
1969,3,10,1969.625,1,8.1,1,2,1.5,55,0.0384905660377358,"PRGDP"
1969,3,11,1969.625,1,8.1,0,1,0.5,56,0.0282075471698113,"PRGDP"
1969,3,12,1969.625,1,8.1,-1,0,-0.5,57,0.0120754716981132,"PRGDP"
1969,3,13,1969.625,1,8.1,-2,-1,-1.5,58,0.00462264150943397,"PRGDP"
